PGS	Prev	n	meanPRS	GROUP	scaled
32	0.0243722304283604	2708	2.35862785081241	LOW <-1	-0.0226234489261303
33	0.0306612486147026	2707	2.39415247137052	LOW <-1	-0.0163344307397881
34	0.0203176948651644	2707	2.43048135943849	LOW <-1	-0.0266779844893263
35	0.0247506464721093	2707	2.4661309530846	LOW <-1	-0.0222450328823813
36	0.0262089331856774	2709	2.50224535991141	LOW <-1	-0.0207867461688133
37	0.0314000738825268	2707	2.53758132249723	LOW <-1	-0.0155956054719639
38	0.0184774575018477	2706	2.57300003325942	LOW <-1	-0.0285182218526429
39	0.0221565731166913	2708	2.60692709379616	LOW <-1	-0.0248391062377994
40	0.0262089331856774	2709	2.64016407161314	LOW <-1	-0.0207867461688133
41	0.0277264325323475	2705	2.67421507578558	LOW <-1	-0.0192692468221432
42	0.0295420974889217	2708	2.70741859675037	LOW <-1	-0.017453581865569
43	0.0284552845528455	2706	2.74051898373984	LOW <-1	-0.0185403948016452
44	0.0265878877400295	2708	2.77303114475628	LOW <-1	-0.0204077916144611
45	0.0299113737075332	2708	2.80683676144756	LOW <-1	-0.0170843056469574
46	0.0380635624538064	2706	2.84018057649667	LOW <-1	-0.00893211690068432
47	0.0410048023642409	2707	2.87412284078315	LOW <-1	-0.00599087699024982
48	0.0295420974889217	2708	2.90642081979321	LOW <-1	-0.017453581865569
49	0.0321388991503509	2707	2.93891059844847	LOW <-1	-0.0148567802041397
50	0.0402511078286558	2708	2.97212066100443	LOW <-1	-0.00674457152583485
51	0.0369549150036955	2706	3.00416757575758	LOW <-1	-0.0100407643507952
52	0.0398818316100443	2708	3.03691253323486	LOW <-1	-0.00711384774444637
53	0.0384189139268563	2707	3.07082698559291	LOW <-1	-0.00857676542763438
54	0.0350942002216476	2707	3.10434773180643	LOW <-1	-0.0119014791328431
55	0.0387596899224806	2709	3.13725722037652	LOW <-1	-0.00823598943201006
56	0.0336289726533629	2706	3.17010690317812	LOW <-1	-0.0133667067011278
57	0.0358330254894717	2707	3.20335427041005	LOW <-1	-0.0111626538650189
58	0.0395271518285925	2707	3.23748719985223	LOW <-1	-0.00746852752589814
59	0.0428360413589365	2708	3.27095581610044	LOW <-1	-0.0041596379955542
60	0.0439276485788114	2709	3.30345625692137	LOW <-1	-0.00306803077567931
61	0.0388026607538803	2706	3.33634881744272	LOW <-1	-0.00819301860061041
62	0.041389504804139	2706	3.37088780857354	LOW <-1	-0.00560617455035173
63	0.0406353897303288	2707	3.40569297007758	LOW <-1	-0.0063602896241619
64	0.0435745937961595	2708	3.44042412850812	LOW <-1	-0.00342108555833115
